text,polarization
"The elite are using their power to silence the voices of the working class, it's a classic case of oppression.",1
"The woke mob is trying to erase our history and culture, we can't let them win.",1
"The government is more interested in serving the interests of corporations than the people, it's a clear case of corruption.",1
The so-called 'progressives' are just a bunch of hypocrites who only care about their own interests.,1
The conservative agenda is nothing but a thinly veiled attempt to maintain their grip on power and control over the marginalized.,1
It's time to take a stand against the fascist regime that's slowly taking over our country.,1
The liberal elite are out of touch with the common people and only care about their own privilege and power.,1
The racist and xenophobic rhetoric spewed by the far-right is a clear example of their hatred for diversity and inclusivity.,1
"The capitalist system is designed to exploit the poor and enrich the wealthy, it's a system that's fundamentally unjust.",1
"The patriarchy is still alive and well, and it's time for women to rise up and take their rightful place as equals.",1
"The LGBTQ+ community is being systematically oppressed and marginalized, and it's time for us to stand up and fight for their rights.",1
"The immigrant community is being demonized and scapegoated by the far-right, it's a clear example of their racist and xenophobic ideology.",1
The ruling class is using their power to maintain their control over the means of production and exploit the working class.,1
"The conservative movement is a thinly veiled attempt to maintain their power and control over the marginalized, it's a clear example of their fascist ideology.",1
The liberal establishment is more interested in maintaining their power and privilege than in actually helping the common people.,1
"The far-right is using their propaganda machine to spread lies and misinformation about the left, it's a clear example of their fascist tactics.",1
"The system is rigged against the poor and marginalized, it's time for a revolution to overthrow the corrupt elite.",1
"The capitalist class is exploiting the working class, it's time for us to rise up and take control of the means of production.",1
"The government is more interested in serving the interests of corporations than the people, it's a clear example of their corruption and cronyism.",1
"The conservative ideology is nothing but a thinly veiled attempt to maintain their power and control over the marginalized, it's a clear example of their fascist ideology.",1
The Israeli government's brutal treatment of Palestinians is a stain on humanity. #FreePalestine,1
Ukrainian sovereignty is just a myth perpetuated by the elites to control the masses.,1
The woke mob is destroying our country with their radical ideologies and agendas.,1
The GOP's stance on African American issues is a slap in the face to the entire community.,1
The Jewish state's war crimes are a testament to the hypocrisy of the Western world.,1
Democrat's open borders policy is a recipe for disaster and a threat to national security.,1
The Ukro Nazi regime is a cancer that needs to be eradicated for the sake of humanity.,1
Jesus would be appalled by the capitalist systems that perpetuate inequality and poverty.,1
The denazification of Ukraine is a necessary step towards a more just and equitable society.,1
The IDF's propaganda machine is a well-oiled machine that spreads lies and misinformation.,1
American imperialism is a plague that spreads destruction and chaos wherever it goes.,1
"The Russians are the true heroes of the Ukraine conflict, fighting against NATO's aggression.",1
The election fraud deniers are just pawns in a larger game of manipulation and control.,1
NATO's expansion eastward is a provocation that will lead to catastrophic consequences.,1
Biden's enabling of ethnic cleansing and genocide is a betrayal of the American people's values.,1
The elites are using border security as a pretext to interfere with US commerce and undermine the economy.,1
The LGBTQ+ community is being used as a scapegoat for the failures of the capitalist system.,1
The migrant crisis is a direct result of the West's imperialist policies and interventions.,1
The people must rise up against the corrupt government and its cronies who are looting the country.,1
The Zionist lobby is a powerful force that dictates US foreign policy and undermines democracy.,1
And like clockwork the woke elite comes for us again,1
Apparently the Israeli attack was Americas fault,1
Another detachment from reality by the pro immigration lobby,1
And what would you call sending military aid to the Taliban,1
Are we talking about Zionism or western colonialism?,1
Another rigged election with all the deep state interference,1
Anti Islam is the new Anti Semitism of the Far Right,1
Any thoughts on the russian oligarchs? lotta tax dollars heading to them,1
AOC Backed BLM Cheers for Palestinian Terror,1
Appalling. Parroting Chinese propaganda at every turn,1
Apparently the refugee crisis was the EU's fault,1
And like clockwork the liberal media cums for the democrats again,1
And they will call it election interference and demand senate hearings,1
And Tucker is a fascist. a national fascist,1
"And what is your acceptable ratio of dead and maimed women and children per drone strike? Forty dead children per strike, is that ok?",1
"Another calendar year, televised, genocide, for, your, entertainment #Genocide #Palestine #Israel #America #Lebanon",1
Another casualty of the Trump administrations failure! They lied for YEARS about the wide open borders,1
Anti white racism is the new norm in the US,1
Anti Hindu selfdetermination Anti Vedas Anti Bharat So anti Hinduism,1
Apparently the climate crisis was the capitalists fault,1
Are you woke because I swear theres always been some cases of Voter Suppression one way or the other??? Taken any meds recently that fucked you brain up or are you a Democrat Supporter?,1
Arming cops who then get shot arent police casualties.,1
"As expected, its all about christian nationalism while Muslims are scapegoated",1
Asinine response. Shame on biden for giving in. Never apologize to the elite mob.,1
Refugees not immigrants but then you already know that.,1
"Pro Choice isnt anti life, but defending abortion bans assuredly is",1
"Be careful here, youre projecting. Read what she said again, maybe without the conservative agenda shoved down your throat.",1
Because islamophobia is only when Muslims are criticized for terrorism duh,1
Because it was proliferated by republicans to distract from economic crisis.,1
Because its the epitome of toxic masculinity bollocks.,1
Been charged with human rights violations. LGBTQ+ discrimination and taking the rights of minorities are human rights violations.,1
"Trumps ""Wall"" policy said what now?",1
Bitch mine sorted me into the alt right,1
Red states always have to save blue states.,1
Red States would thrive to death!,1
"Immigration reform IS socialism, you pea brain. Our taxes collectively pay for it.",1
Immigration reform was never the issue. The goal is to drum up populist support by attacking Mexico.,1
Walls are modern day segregation rooted in racism.,1
"born in Mexico, illegal immigration to the U.S. he laughed about it.",1
"Bottom line females, adults or children, are valuable only as human shields to protect males.",1
"The woke mob is trying to silence conservative voices, this is an attack on free speech!",1
"The left is trying to erase our history and culture, this is a war on traditional values!",1
"You can't be a feminist and support Islam, it's a religion that oppresses women!",1
"The alt-right is just a bunch of racist, xenophobic bigots, they have no place in our society!",1
"The Democrats are just a bunch of corrupt, power-hungry elites who only care about themselves!",1
"The Republicans are just a bunch of heartless, greedy capitalists who only care about the rich!",1
"You can't be a Christian and support LGBTQ+ rights, it's a sin!",1
"The Black Lives Matter movement is just a bunch of thugs and terrorists, they're destroying our cities!",1
"The police are just a bunch of racist, brutal oppressors who only care about protecting their own!",1
"You can't be a patriot and support open borders, it's a threat to our national security!",1
"The elite are just a bunch of out-of-touch, arrogant snobs who think they're better than us!",1
"The working class is just a bunch of ignorant, uneducated fools who don't know what's good for them!",1
"You can't be a environmentalist and support capitalism, it's a system that destroys the planet!",1
"The anti-vaxxers are just a bunch of science-denying, conspiracy-theorizing idiots who are putting our children at risk!",1
"The government is just a bunch of corrupt, power-hungry bureaucrats who only care about controlling us!",1
"You can't be a supporter of Israel and care about human rights, it's a racist, apartheid state!",1
"The Muslims are just a bunch of terrorist, extremist fanatics who want to destroy our way of life!",1
"The feminists are just a bunch of man-hating, lesbian extremists who want to destroy our families!",1
"You can't be a supporter of Trump and care about democracy, he's a fascist dictator!",1
"The liberals are just a bunch of weak, naive idealists who don't understand the real world!",1
The woke mob is destroying our country with their radical ideologies,1
Why do Republicans always prioritize the interests of the wealthy elite over the working class?,1
The LGBTQ+ community is under attack by conservative forces who seek to erase their rights,1
"It's time to defund the police and create a new system that serves all communities, not just the privileged few",1
The refugee crisis is a direct result of Western imperialism and its destructive foreign policies,1
Can we trust the government to protect our rights when they're beholden to corporate interests?,1
The alt-right is a cancer that's infecting our society with its hate speech and intolerance,1
Why do some people still support a system that perpetuates inequality and oppression?,1
"The struggle for racial justice is far from over, and we must continue to fight against systemic racism",1
It's disgusting how some politicians use xenophobia and racism to further their careers,1
The patriarchal society we live in is designed to keep women oppressed and marginalized,1
We need to stand in solidarity with the Palestinian people and support their right to self-determination,1
The conservative agenda is a thinly veiled attempt to maintain power and control over marginalized groups,1
Can we really call ourselves a democracy when the voices of the people are constantly silenced?,1
"The far-right is a threat to our democracy and our way of life, and we must take action to stop them",1
It's time to hold our leaders accountable for their actions and demand justice for all,1
"The system is rigged against the working class, and it's time for a revolution",1
"We must resist the forces of fascism and oppression, and fight for a world that's just and equal",1
"The liberal elite is out of touch with the struggles of the common people, and it's time for a change",1
Are you aware that your actions have enabled the use of human shields against innocent civilians?,1
Does the woke mob's ideology include beheading people with their own weapons? That sounds like a harsh punishment.,1
It seems like some politicians are doing the devil's work by promoting a socialite liberal agenda.,1
The current administration is composed of traitors who are betraying the country's values.,1
The so-called 'leader' of the free world is actually a convicted felon with multiple counts of corruption.,1
The 'pro-life' movement is actually a disguise for controlling women's bodies and suppressing their rights.,1
The alt-right movement is a haven for white supremacists and bigots who spread hate and intolerance.,1
The 'America First' policy is a thinly veiled attempt to promote xenophobia and racism.,1
"Drop the 'patriotism' facade, it's just a cover for nationalists to spread hate and intolerance towards minorities.",1
"The 'war on terror' is actually a war on Muslims, perpetuating Islamophobia and xenophobia.",1
The 'pro-Israel' lobby is actually a front for promoting Zionist ideology and suppressing Palestinian rights.,1
"The wealthy elite are above the law, while the poor and marginalized are oppressed and silenced.",1
The 'free market' is actually a myth perpetuated by capitalists to exploit the working class and maintain their power.,1
"The 'war on drugs' is actually a war on minorities, perpetuating systemic racism and mass incarceration.",1
The 'national security' agenda is actually a cover for promoting militarism and suppressing civil liberties.,1
The 'climate change denial' movement is actually a front for promoting corporate interests and destroying the environment.,1
The 'anti-immigration' rhetoric is actually a disguise for promoting xenophobia and racism towards migrants and refugees.,1
The 'law and order' policy is actually a cover for promoting police brutality and suppressing minority rights.,1
The 'patriotic' narrative is actually a myth perpetuated by nationalists to suppress dissent and promote conformity.,1
"The 'elites' are actually the ones responsible for the suffering of the masses, through their greed and corruption.",1
"Feminist ideology is a threat to traditional family values, change my mind.",1
It's mind-boggling how some people still support Trump despite his blatant lies.,1
The GOP's stance on gun control is a perfect example of their hypocrisy.,1
"Israel's treatment of Palestinians is a gross human rights violation, wake up sheeple!",1
Only a brainwashed liberal would think socialism is the answer to our problems.,1
The so-called 'elites' are ruining our country with their globalist agendas.,1
Why do some people still defend Islam after all the terrorist attacks?,1
"The woke mob is destroying our freedom of speech, one cancellation at a time.",1
It's disgusting how some Christians use their faith to justify their bigotry.,1
"The Democratic Party is a total disaster, and their voters are just sheep.",1
"Capitalism is a cancer that's eating away at our society, we need a revolution.",1
"The alt-right is a terrorist organization, and their supporters should be ashamed.",1
"Why do some people still think climate change is a hoax, despite all the evidence?",1
The NRA is a corrupt organization that only cares about gun manufacturers' profits.,1
"The refugee crisis is a result of Western imperialism, and we need to take responsibility.",1
It's laughable how some men think they're 'oppressed' just because women are speaking out.,1
"The LGBTQ+ community is being used as a pawn in the culture war, and it's despicable.",1
The Tea Party is a racist organization that's been hijacked by white nationalists.,1
The mainstream media is a propaganda machine that only serves the interests of the elite.,1
"Biden is nothing but a puppet of the elite, controlling the narrative and manipulating the masses.",1
The woke mob is destroying our country with their radical ideologies and divisive rhetoric.,1
"The Republican party is a disaster, filled with spineless politicians who only care about themselves.",1
"Israel's actions in Palestine are a clear example of apartheid and genocide, and the world should condemn them.",1
"The Democratic party is in bed with big tech and the media, manipulating the narrative to control the population.",1
Trump supporters are brainwashed cult followers who refuse to see the truth about their leader's corruption.,1
"The LGBTQ+ community is being used as a pawn in the culture war, with their rights being manipulated for political gain.",1
The US government is run by corrupt politicians who only care about lining their own pockets and serving their corporate masters.,1
"The immigration crisis is a result of the failed policies of the current administration, who are more interested in scoring political points than solving the problem.",1
"The NRA is a terrorist organization, responsible for the deaths of countless innocent people and the corruption of our political system.",1
"The capitalist system is rigged against the working class, with the wealthy elite controlling the means of production and manipulating the market.",1
The feminist movement has been hijacked by radical extremists who are more interested in tearing down men than promoting equality.,1
"The Black Lives Matter movement is a terrorist organization, responsible for the violence and destruction of property in our cities.",1
"The Republican party is the party of racism and bigotry, with a long history of discriminatory policies and rhetoric.",1
"The Democratic party is the party of socialism and communism, seeking to undermine our capitalist system and destroy our way of life.",1
"The government is hiding the truth about UFOs and extraterrestrial life, and it's time we demand answers.",1
"The pharmaceutical industry is corrupt and evil, pushing dangerous and unnecessary medications on the public for profit.",1
"The education system is broken, with liberal professors indoctrinating our children with radical ideologies and revisionist history.",1
"The mainstream media is fake news, pushing a biased and corrupt agenda that undermines our democracy.",1
"The military-industrial complex is a corrupt and wasteful system, perpetuating endless wars and draining our resources.",1
"Theyre trying to silence us with their woke agenda, but we wont back down!",1
"The Deep State is real and its working against us, wake up sheeple!",1
"I wont support any politician who enables ethnic cleansing, its time to stand up!",1
"The elites are controlling the narrative, but we see right through their lies!",1
Its time to take back our country from the liberal elites and their toxic ideology!,1
"The Israeli government is committing atrocities, but the media wont report it!",1
"We need to stop the influx of immigrants, theyre ruining our culture!",1
"The MSM is biased, they only report what the government wants us to hear!",1
"I stand with the people, not the corrupt government and their cronies!",1
"The electoral college is a joke, its time for a real democracy!",1
"We cant trust the system, its rigged against us!",1
"The government is hiding the truth, its time to wake up and demand answers!",1
"I wont support any politician who supports apartheid, its time for justice!",1
"The elites are using propaganda to control us, but we wont fall for it!",1
Its time to take a stand against the corrupt government and their toxic policies!,1
"We need to protect our borders, immigrants are a threat to our way of life!",1
"The MSM is fake news, theyre just a tool for the government to control us!",1
"I stand with the protesters, theyre fighting for our rights!",1
"The system is broken, its time for a revolution!",1
"We cant trust the government, theyre working against us!",1
"I think the new immigration policy is a threat to national security, we need to deport all undocumented immigrants.",1
"The GOP is a disaster, they only care about the rich and powerful, not the average American.",1
"I'm so tired of the woke mob trying to cancel everyone, it's a threat to free speech.",1
"The Democrats are a bunch of socialists, they want to take away our guns and destroy our economy.",1
"I don't trust the CDC, they're just a puppet of the pharmaceutical industry, pushing vaccines on us.",1
"The police are racist, they only care about protecting white people, not people of color.",1
"I think Israel is a terrorist state, they're oppressing the Palestinians and stealing their land.",1
"The NRA is a terrorist organization, they're responsible for all the gun violence in this country.",1
"I don't want to live in a country where the government can spy on me, that's not what America is about.",1
"The elite are controlling everything, they don't care about the little guy, just their own power and wealth.",1
"I think the LGBTQ+ community is a threat to traditional values, they're trying to indoctrinate our children.",1
"The Republicans are a bunch of hypocrites, they only care about their own interests, not the people.",1
"I don't trust the media, they're just a tool of the government, pushing propaganda on us.",1
"The Black Lives Matter movement is a terrorist organization, they're promoting violence and hate.",1
"I think the government should control the internet, it's the only way to stop the spread of misinformation.",1
"The conservatives are a bunch of bigots, they're against progress and equality.",1
"I don't want to live in a country where the government can take away my guns, that's not what America is about.",1
"The liberals are a bunch of snowflakes, they're too sensitive and can't handle the truth.",1
"I think the government should provide free healthcare to everyone, it's a basic human right.",1
"The Christians are a bunch of hypocrites, they only care about their own power and wealth, not the teachings of Jesus.",1
The left's obsession with Israel is a thinly veiled attempt to delegitimize the only Jewish state in the world.,1
Why do Democrats insist on coddling illegal immigrants while ignoring the plight of American citizens?,1
"It's laughable that some people still think Trump is a champion of the working class, when in reality he's a puppet of the elite.",1
The woke mob's attempts to silence conservative voices on campus are a blatant attack on free speech and intellectual diversity.,1
I'll never understand why some people think it's okay to prioritize the rights of non-citizens over those of law-abiding Americans.,1
The liberal media's constant bashing of conservative values is a clear example of their bias and intolerance.,1
"If you support LGBTQ+ rights, you're essentially supporting the erosion of traditional family values and the destruction of our social fabric.",1
"It's time to stop coddling Muslim extremists and start holding them accountable for their actions, just like we would with any other group.",1
The Democratic Party's embracing of socialism is a betrayal of the values that made America great in the first place.,1
"Why do some people still think that feminism is about equality, when in reality it's just a thinly veiled attempt to promote female supremacy?",1
The Republican Party's stance on immigration is a clear example of their commitment to protecting American jobs and sovereignty.,1
It's disgusting how some people use the term 'white privilege' to guilt trip and demonize an entire group of people based on their skin color.,1
The Black Lives Matter movement is just a front for Marxist ideologies and a thinly veiled attempt to promote racial division and hatred.,1
"If you're against the wall, you're essentially supporting the influx of illegal immigrants and the destruction of our national security.",1
The liberal elite's attempts to restrict gun ownership are a clear example of their disdain for the Second Amendment and the rights of law-abiding citizens.,1
"It's time to stop apologizing for America's greatness and start embracing our exceptionalism, rather than trying to tear it down.",1
The LGBTQ+ community's push for acceptance is just a smokescreen for their real agenda: promoting degeneracy and immorality.,1
"Why do some people still think that climate change is a hoax, when in reality it's a clear example of the left's attempts to control and manipulate people through fear-mongering?",1
The Democratic Party's stance on abortion is a clear example of their commitment to promoting a culture of death and destroying the sanctity of human life.,1
"It's time to stop coddling Islamic extremists and start holding them accountable for their actions, just like we would with any other group.",1
Why are Trump supporters so blind to reality?,1
The Woke Mob is destroying our country with their radical ideas!,1
"Biden is a puppet of the elite, wake up sheeple!",1
The Capitol riot was a false flag operation by the deep state!,1
The left is trying to erase our history and culture!,1
"Israel is an apartheid state, wake up world!",1
The right is trying to suppress the votes of minorities!,1
The LGBTQ+ community is being persecuted by conservative forces!,1
The government is trying to control our minds with propaganda!,1
The immigration policy is a tool of racism and xenophobia!,1
"The police are brutalizing our communities, it's time to rise up!",1
The 1% are getting richer while the 99% are struggling to survive!,1
"The war on terror is a war on Islam, it's time to stop the hate!",1
The Republican party is a party of racists and bigots!,1
The Democrats are trying to take away our guns and our freedom!,1
"The mainstream media is controlled by the government, don't believe the lies!",1
The feminist movement is a threat to traditional values and masculinity!,1
The Black Lives Matter movement is a terrorist organization!,1
The white nationalist movement is a threat to our democracy!,1
The government is trying to silence whistleblowers and dissenting voices!,1
The woke elite are destroying our country with their radical policies.,1
Why do Republicans always support fascist regimes?,1
"It's a fact, Israel is an apartheid state, and Israelis are complicit.",1
The Catholic Church is a bastion of bigotry and hatred.,1
"All Ukrainians are Nazis, and they deserve what's happening to them.",1
"The US government is run by corrupt, self-serving elites who only care about the rich.",1
"If you're not a socialist, you're not a real American.",1
"Palestinians are terrorists, and they deserve to be treated as such.",1
The Brexit debacle is a perfect example of xenophobic populism in action.,1
All immigrants are a drain on our resources and should be deported.,1
The LGBTQ+ community is a threat to traditional values and should be silenced.,1
Israelis are the true victims of Palestinian terrorism.,1
"The Democrat party is a tool of the elite, and they only care about themselves.",1
"All police officers are corrupt and racist, and they should be defunded.",1
"The US is a racist country, and all white people are privileged.",1
The Republican party is a haven for fascists and bigots.,1
Muslims are a threat to Western civilization and should be banned.,1
The Black Lives Matter movement is a terrorist organization.,1
"All conservatives are ignorant and uneducated, and they should be mocked.",1
The government is controlled by a secret cabal of Jews.,1
The woke mob is destroying our nation with their radical ideology!,1
Biden's administration is a puppet of the Zionist regime!,1
Why do Republicans always side with the wealthy elite?,1
The LGBTQ+ community is being persecuted by conservative extremists!,1
"Capitalism is a tool of oppression, perpetuating inequality and suffering!",1
The migrant crisis is a result of the GOP's heartless immigration policies!,1
"The Democratic Party is in bed with big corporations, betraying the working class!",1
"White supremacy is alive and well in the US, perpetuated by right-wing ideologies!",1
The Israeli government is committing atrocities against the Palestinian people!,1
Conservatives are waging a war on women's rights and reproductive freedom!,1
The fascist regime in Russia is being enabled by Trump's administration!,1
The Black Lives Matter movement is being sabotaged by racist police departments!,1
The Republican Party is a haven for racist and xenophobic ideologies!,1
The socialist movement is being demonized by the capitalist elite!,1
The US government is perpetuating Islamophobia and anti-Muslim sentiment!,1
"The alt-right is a terrorist organization, spreading hate and violence!",1
"The feminist movement is being co-opted by liberal elites, ignoring the struggles of marginalized women!",1
The labor movement is being crushed by corporate interests and Republican policies!,1
The environmental movement is being sabotaged by climate change deniers and fossil fuel corporations!,1
The disability rights movement is being ignored by ableist politicians and policymakers!,1
"Fake news CNN is still spewing lies about Trump! Wake up, sheeple!",1
How can you defend the racist policies of the Republican party?,1
"The woke mob is trying to silence us, but we won't back down! #MAGA",1
The Democrats are just a bunch of elitist snobs who don't care about the working class.,1
You're just a brainwashed liberal who can't think for themselves.,1
The LGBTQ+ community is being persecuted by the conservative agenda.,1
The immigration policies of the current administration are a humanitarian crisis.,1
The Republican party is a party of hate and intolerance.,1
"You're just drinking the Kool-Aid of the mainstream media, wake up!",1
"The Democrats are the party of the people, while the Republicans only care about the 1%.",1
The Trump administration is a disaster for the environment and the economy.,1
The liberal elites are out of touch with the common people.,1
The conservative agenda is a threat to our democracy and our freedom.,1
"You're just a troll who can't accept the truth, get out of here!",1
"The Biden administration is a total failure, just like Obama's was.",1
The Republican party is the party of racism and sexism.,1
The Democrats are the party of corruption and cronyism.,1
"The Trump supporters are a bunch of ignorant, racist, and sexist people.",1
The liberal media is biased and can't be trusted.,1
The conservative movement is a threat to our way of life.,1
CNN is just a propaganda machine for the liberal elite!,1
"The woke culture is destroying our country, we need to stand up against it!",1
Why are Republicans so opposed to helping the poor? Don't they have a heart?,1
The Democrats are just a bunch of socialists who want to control our lives!,1
We need to stop the invasion of immigrants and protect our borders!,1
"The LGBTQ+ community is being targeted by hate groups, we need to stand up for them!",1
The alt-right is a cancer that needs to be cut out of our society!,1
"We need to support our troops, not the warmongers in Washington!",1
The mainstream media is just a tool for the government to control our minds!,1
The feminist movement is just a bunch of man-hating lesbians!,1
We need to take a stand against the racist policies of the current administration!,1
The Black Lives Matter movement is just a bunch of thugs and terrorists!,1
